userId,venueId,venueCategoryId,venueCategory,latitude,longitude,timezoneOffset,utcTimestamp
1541,4f3da9b2e4b0a4b0820f70bf,4deefb944765f83613cdba6e,Historic Site,35.75053508,139.8028493,540,Fri Apr 13 08:15:04 +0000 2012
823,4cf1e86e6c29236a41d368a2,4bf58dd8d48988d1f9931735,Road,35.67477485,139.7687799,540,Fri Apr 13 08:15:41 +0000 2012
361,4b63a9e5f964a520a48a2ae3,4bf58dd8d48988d1f9931735,Road,35.65857769,139.7107852,540,Fri Apr 13 08:15:50 +0000 2012
1324,4b19f917f964a520abe623e3,4bf58dd8d48988d129951735,Train Station,35.6985962,139.7730182,540,Fri Apr 13 08:15:55 +0000 2012
1324,4bd01f4477b29c74032d8a82,4bf58dd8d48988d129951735,Train Station,35.69849482,139.7725135,540,Fri Apr 13 08:16:09 +0000 2012
36,4b5fbba0f964a52076ca29e3,4bf58dd8d48988d111941735,Japanese Restaurant,35.68958429,139.6969236,540,Fri Apr 13 08:16:42 +0000 2012
2286,4b77e673f964a5201cae2ee3,4bf58dd8d48988d1fd941735,Mall,35.80291115,139.7206959,540,Fri Apr 13 08:16:56 +0000 2012
312,4b6c0307f964a5208c1f2ce3,4bf58dd8d48988d129951735,Train Station,35.65850795,139.701325,540,Fri Apr 13 08:17:03 +0000 2012
1069,4b58f685f964a520b57528e3,4bf58dd8d48988d1e0931735,Coffee Shop,35.65793261,139.697991,540,Fri Apr 13 08:17:07 +0000 2012
44,4b641949f964a520ef9e2ae3,4bf58dd8d48988d180941735,Movie Theater,35.65907021,139.698911,540,Fri Apr 13 08:17:41 +0000 2012
426,4bab13baf964a5201a943ae3,4bf58dd8d48988d1f9931735,Road,35.69556071,139.7753191,540,Fri Apr 13 08:17:44 +0000 2012
1651,4bbc5e16e4529521efc855a4,4d954b0ea243a5684a65b473,Convenience Store,35.60325621,139.6844797,540,Fri Apr 13 08:17:51 +0000 2012
1967,4b093eeff964a520e51423e3,4bf58dd8d48988d129951735,Train Station,35.65852173,139.701326,540,Fri Apr 13 08:17:52 +0000 2012
538,4b2ae079f964a52061b124e3,4bf58dd8d48988d129951735,Train Station,35.65188911,139.5443957,540,Fri Apr 13 08:18:05 +0000 2012
1931,4c832b85d8086dcb34357e52,4bf58dd8d48988d16a941735,Bakery,35.5972288,139.6675434,540,Fri Apr 13 08:18:38 +0000 2012
1635,4b79883bf964a5205bff2ee3,4eb1d80a4b900d56c88a45ff,Shrine,35.75609443,139.7333264,540,Fri Apr 13 08:19:09 +0000 2012
1635,4ddf5ed9c65bb5e319d014a3,4bf58dd8d48988d103941735,Home (private),35.76153638,139.7371014,540,Fri Apr 13 08:19:20 +0000 2012
1253,4ba72b61f964a520198439e3,4bf58dd8d48988d1df941735,Bridge,35.6943365,139.7887033,540,Fri Apr 13 08:19:36 +0000 2012
25,4b1cd6a5f964a520120a24e3,4bf58dd8d48988d129951735,Train Station,35.77806244,139.7208381,540,Fri Apr 13 08:19:41 +0000 2012
